,Lemma
0,и
1,в
2,не
3,на
4,я
5,что
6,быть
7,он
8,с
9,а
10,как
11,это
12,по
13,она
14,этот
15,к
16,но
17,то
18,они
19,мы
20,из
21,у
22,который
23,за
24,свой
25,весь
26,год
27,от
28,все
29,о
30,так
31,для
32,же
33,ты
34,тот
35,мочь
36,вы
37,один
38,человек
39,такой
40,его
41,только
42,еще
43,сказать
44,или
45,бы
46,себя
47,уже
48,до
49,когда
50,время
51,если
52,сам
53,другой
54,вот
55,говорить
56,наш
57,мой
58,знать
59,стать
60,да
61,при
62,чтобы
63,нет
64,даже
65,дело
66,ни
67,жизнь
68,кто
69,первый
70,очень
71,два
72,день
73,ее
74,новый
75,раз
76,рука
77,там
78,во
79,со
80,где
81,под
82,можно
83,ну
84,после
85,какой
86,ли
87,их
88,работа
89,без
90,самый
91,потом
92,надо
93,хотеть
94,слово
95,идти
96,Россия
97,большой
98,должен
99,место
100,иметь
101,ничто
102,сейчас
103,более
104,тут
105,лицо
106,каждый
107,друг
108,теперь
109,глаз
110,тоже
111,тогда
112,видеть
113,вопрос
114,через
115,здесь
116,дом
117,потому
118,сторона
119,какой-то
120,думать
121,сделать
122,просто
123,страна
124,жить
125,чем
126,мир
127,об
128,последний
129,несколько
130,ведь
131,случай
132,голова
133,делать
134,что-то
135,конечно
136,смотреть
137,ребенок
138,сила
139,российский
140,хотя
141,конец
142,больше
143,Москва
144,перед
145,вид
146,система
147,всегда
148,работать
149,между
150,русский
151,три
152,понять
153,пойти
154,часть
155,пока
156,много
157,спросить
158,город
159,дать
160,также
161,никто
162,понимать
163,получить
164,отношение
165,лишь
166,второй
167,именно
168,ваш
169,хорошо
170,сидеть
171,над
172,женщина
173,оказаться
174,взять
175,прийти
176,являться
177,однако
178,деньги
179,почему
180,вдруг
181,любить
182,стоить
183,почти
184,земля
185,общий
186,машина
187,сразу
188,вода
189,отец
190,высокий
191,остаться
192,выйти
193,проблема
194,начать
195,хороший
196,право
197,час
198,сегодня
199,совсем
200,нога
201,считать
202,главный
203,решение
204,увидеть
205,уж
206,дверь
207,казаться
208,образ
209,писать
210,история
211,лучший
212,власть
213,закон
214,пора
215,правда
216,война
217,бог
218,голос
219,найти
220,поэтому
221,стоять
222,вообще
223,тысяча
224,вместе
225,маленький
226,книга
227,некоторый
228,решить
229,любой
230,возможность
231,результат
232,ночь
233,стол
234,никогда
235,имя
236,область
237,молодой
238,пройти
239,например
240,статья
241,оно
242,число
243,компания
244,про
245,государственный
246,полный
247,принять
248,народ
249,никакой
250,советский
251,жена
252,настоящий
253,всякий
254,группа
255,развитие
256,процесс
257,суд
258,давать
259,ответить
260,старый
261,условие
262,твой
263,средство
264,помнить
265,начало
266,ждать
267,свет
268,путь
269,душа
270,куда
271,нужно
272,разный
273,нужный
274,уровень
275,иной
276,форма
277,связь
278,белый
279,кроме
280,минута
281,находиться
282,будто
283,опять
284,многий
285,собственный
286,улица
287,черный
288,написать
289,вечер
290,снова
291,основной
292,качество
293,мысль
294,мать
295,дорога
296,действие
297,месяц
298,оставаться
299,государство
300,язык
301,сколько
302,любовь
303,взгляд
304,мама
305,играть
306,век
307,далекий
308,лежать
309,нельзя
310,школа
311,уйти
312,подумать
313,цель
314,среди
315,общество
316,посмотреть
317,военный
318,деятельность
319,организация
320,кто-то
321,вернуться
322,президент
323,комната
324,порядок
325,момент
326,театр
327,следовать
328,читать
329,письмо
330,подобный
331,следующий
332,утро
333,особенно
334,помощь
335,ситуация
336,роль
337,бывать
338,ходить
339,рубль
340,начинать
341,смысл
342,появиться
343,состояние
344,называть
345,рядом
346,хоть
347,квартира
348,назад
349,равный
350,из-за
351,орган
352,мало
353,внимание
354,тело
355,труд
356,живой
357,прийтись
358,хотеться
359,сын
360,мера
361,пять
362,смерть
363,рынок
364,программа
365,задача
366,предприятие
367,известный
368,окно
369,вести
370,совершенно
371,простой
372,разговор
373,показать
374,правительство
375,важный
376,семья
377,великий
378,значит
379,производство
380,третий
381,огромный
382,давно
383,политический
384,информация
385,действительно
386,положение
387,поставить
388,бояться
389,центр
390,наконец
391,все-таки
392,происходить
393,ответ
394,муж
395,автор
396,стена
397,существовать
398,интерес
399,становиться
400,федерация
401,правило
402,оба
403,часто
404,московский
405,управление
406,слышать
407,быстро
408,смочь
409,против
410,заметить
411,как-то
412,мужчина
413,долго
414,идея
415,партия
416,чуть
417,иногда
418,использовать
419,пытаться
420,готовый
421,прямо
422,зачем
423,представить
424,чувствовать
425,создать
426,совет
427,счет
428,сердце
429,движение
430,пусть
431,вещь
432,материал
433,чувство
434,неделя
435,затем
436,данный
437,заниматься
438,продолжать
439,красный
440,глава
441,ко
442,слушать
443,словно
444,наука
445,узнать
446,ряд
447,Александр
448,газета
449,причина
450,плечо
451,современный
452,цена
453,план
454,прежде
455,приехать
456,речь
457,четыре
458,отвечать
459,точка
460,основа
461,товарищ
462,культура
463,слишком
464,рассказывать
465,вполне
466,около
467,далее
468,рассказать
469,данные
470,представлять
471,мнение
472,социальный
473,вокруг
474,документ
475,институт
476,ход
477,брать
478,забыть
479,проект
480,ранний
481,встреча
482,особый
483,целый
484,директор
485,провести
486,спать
487,точно
488,плохой
489,может
490,впрочем
491,сильный
492,наверное
493,скорый
494,срок
495,палец
496,опыт
497,помочь
498,приходить
499,служба
500,крупный
501,Андрей
502,внутренний
503,просить
504,вспомнить
505,открыть
506,привести
507,судьба
508,девушка
509,поскольку
510,очередь
511,правый
512,лес
513,экономический
514,оставить
515,состав
516,Сергей
517,федеральный
518,спрашивать
519,принимать
520,член
521,искать
522,близкий
523,количество
524,похожий
525,событие
526,объект
527,зал
528,создание
529,различный
530,войти
531,назвать
532,значение
533,знакомый
534,достаточно
535,период
536,шаг
537,необходимый
538,успеть
539,произойти
540,брат
541,вроде
542,искусство
543,рабочий
544,единственный
545,структура
546,легкий
547,выходить
548,номер
549,пример
550,предложить
551,пить
552,исследование
553,гражданин
554,глядеть
555,человеческий
556,игра
557,начальник
558,сей
559,рост
560,ехать
561,международный
562,тема
563,принцип
564,пол
565,попасть
566,дорогой
567,десять
568,начаться
569,верить
570,тип
571,метод
572,фильм
573,небольшой
574,держать
575,либо
576,позволять
577,край
578,местный
579,США
580,менее
581,купить
582,уходить
583,гость
584,собираться
585,воздух
586,туда
587,относиться
588,бывший
589,требовать
590,характер
591,борьба
592,кстати
593,использование
594,подойти
595,Иван
596,РФ
597,размер
598,удаться
599,образование
600,получать
601,Владимир
602,мальчик
603,район
604,кровь
605,небо
606,американский
607,армия
608,класс
609,представитель
610,участие
611,девочка
612,политика
613,сначала
614,герой
615,картина
616,широкий
617,спина
618,доллар
619,территория
620,главное
621,мировой
622,ж
623,немного
624,тяжелый
625,поле
626,довольно
627,изменение
628,умереть
629,течение
630,направление
631,рисунок
632,возможный
633,церковь
634,банк
635,отдельный
636,средний
637,сцена
638,красивый
639,население
640,большинство
641,сесть
642,случиться
643,двадцать
644,всего
645,музыка
646,короткий
647,проходить
648,составлять
649,свобода
650,приходиться
651,память
652,причем
653,команда
654,установить
655,союз
656,поднять
657,врач
658,серьезный
659,стараться
660,договор
661,уметь
662,встать
663,интересный
664,дерево
665,факт
666,добрый
667,хозяин
668,иначе
669,национальный
670,однажды
671,длинный
672,природа
673,домой
674,страшный
675,прошлый
676,угол
677,общественный
678,чтоб
679,телефон
680,позиция
681,проводить
682,разве
683,скоро
684,наиболее
685,двор
686,Сталин
687,обычно
688,бросить
689,писатель
690,самолет
691,объем
692,далеко
693,род
694,солнце
695,вера
696,спектакль
697,берег
698,больной
699,фирма
700,Николай
701,способ
702,завод
703,цвет
704,трудно
705,руководитель
706,журнал
707,специалист
708,детский
709,возможно
710,объяснить
711,оценка
712,единый
713,снять
714,определенный
715,старший
716,низкий
717,нравиться
718,услышать
719,регион
720,чужой
721,связать
722,песня
723,процент
724,родитель
725,позволить
726,странный
727,море
728,требование
729,чистый
730,какой-нибудь
731,половина
732,весьма
733,основание
734,поехать
735,положить
736,легко
737,входить
738,поздний
739,роман
740,круг
741,стихи
742,анализ
743,автомобиль
744,специальный
745,экономика
746,литература
747,бумага
748,вместо
749,впервые
750,видно
751,оказываться
752,поэт
753,научный
754,степень
755,показывать
756,вызвать
757,касаться
758,господин
759,надежда
760,сложный
761,предмет
762,Борис
763,отметить
764,заявить
765,министр
766,вариант
767,столько
768,откуда
769,реальный
770,граница
771,действовать
772,дух
773,модель
774,операция
775,сон
776,пара
777,название
778,малый
779,ум
780,повод
781,старик
782,способный
783,миллион
784,успех
785,практически
786,получиться
787,личный
788,счастье
789,необходимо
790,свободный
791,ребята
792,обычный
793,кабинет
794,прекрасный
795,СССР
796,высший
797,Михаил
798,кричать
799,магазин
800,пространство
801,выход
802,остановиться
803,удар
804,база
805,знание
806,текст
807,сюда
808,темный
809,защита
810,предлагать
811,руководство
812,вовсе
813,площадь
814,сознание
815,гражданский
816,убить
817,молчать
818,возраст
819,участок
820,участник
821,согласиться
822,рано
823,пункт
824,несмотря
825,сильно
826,столь
827,сообщить
828,линия
829,бежать
830,желание
831,папа
832,петь
833,кажется
834,доктор
835,губа
836,известно
837,никак
838,дома
839,дочь
840,вызывать
841,показаться
842,среда
843,председатель
844,солдат
845,представление
846,художник
847,принести
848,волос
849,оружие
850,выглядеть
851,соответствие
852,внешний
853,служить
854,парень
855,ветер
856,зрение
857,попросить
858,ученый
859,генерал
860,состоять
861,отдать
862,огонь
863,боевой
864,святой
865,понятие
866,строительство
867,ухо
868,Европа
869,едва
870,нос
871,выступать
872,грудь
873,ставить
874,завтра
875,возникать
876,страх
877,услуга
878,что-нибудь
879,глубокий
880,содержание
881,радость
882,безопасность
883,надеяться
884,продукт
885,видимо
886,комплекс
887,бизнес
888,подняться
889,Иванович
890,вспоминать
891,сад
892,долгий
893,одновременно
894,называться
895,сотрудник
896,лето
897,тихо
898,зато
899,прямой
900,помогать
901,предложение
902,финансовый
903,курс
904,открытый
905,почему-то
906,значить
907,рот
908,возникнуть
909,где-то
910,технология
911,недавно
912,реформа
913,ладно
914,отсутствие
915,нынешний
916,собака
917,камень
918,будущее
919,звать
920,рассказ
921,контроль
922,позвонить
923,река
924,хватать
925,продукция
926,сумма
927,техника
928,исторический
929,народный
930,вновь
931,ибо
932,здание
933,выпить
934,вперед
935,сфера
936,знаменитый
937,потерять
938,необходимость
939,больший
940,фонд
941,иметься
942,подготовка
943,вчера
944,лист
945,пустой
946,очередной
947,республика
948,хозяйство
949,Виктор
950,получаться
951,полностью
952,учиться
953,плохо
954,воля
955,судебный
956,бюджет
957,возвращаться
958,расти
959,снег
960,деревня
961,обнаружить
962,мужик
963,постоянно
964,зеленый
965,элемент
966,почувствовать
967,обстоятельство
968,немец
969,золотой
970,победа
971,многое
972,источник
973,немецкий
974,передать
975,технический
976,нормальный
977,желать
978,ожидать
979,некий
980,звезда
981,городской
982,выбор
983,Америка
984,соответствующий
985,масса
986,составить
987,итог
988,сестра
989,Игорь
990,шесть
991,ясно
992,сто
993,практика
994,спасибо
995,нести
996,проведение
997,определить
998,карман
999,любимый
1000,родной
1001,слава
1002,западный
1003,обязательно
1004,определение
1005,кухня
1006,пользоваться
1007,быстрый
1008,функция
1009,войско
1010,применение
1011,комиссия
1012,холодный
1013,капитан
1014,улыбнуться
1015,работник
1016,обеспечение
1017,офицер
1018,появляться
1019,Олег
1020,конкретный
1021,фамилия
1022,предел
1023,смеяться
1024,левый
1025,выборы
1026,иностранный
1027,уехать
1028,счастливый
1029,бутылка
1030,бой
1031,подходить
1032,судить
1033,родиться
1034,Ольга
1035,теория
1036,зона
1037,лучше
1038,отдел
1039,зуб
1040,Алексей
1041,разработка
1042,отказаться
1043,считаться
1044,точный
1045,личность
